,identifier,source,annotation
20504,OPPA_ECOLI,Gene Ontology (molecular function),oligopeptide binding [GO:1900750]
20505,OPPA_ECOLI,Gene Ontology (molecular function), peptide transmembrane transporter activity [GO:1904680]
20506,OPPA_ECOLI,Gene Ontology (cellular component), membrane [GO:0016020]
20507,OPPA_ECOLI,Gene Ontology (cellular component), outer membrane-bounded periplasmic space [GO:0030288]
20508,OPPA_ECOLI,Gene Ontology (biological process), oligopeptide import across plasma membrane [GO:0140205]
20509,OPPA_ECOLI,Gene Ontology (biological process), oligopeptide transport [GO:0006857]
20510,OPPA_ECOLI,Gene Ontology (biological process), peptide transport [GO:0015833]
20511,OPPA_ECOLI,Gene Ontology (biological process), protein transport [GO:0015031]
20512,OPPA_ECOLI,Gene Ontology (biological process), response to heat [GO:0009408]
20513,P23845,Gene Ontology (biological process),hydrogen sulfide biosynthetic process [GO:0070814]
20514,P23845,Gene Ontology (cellular component),sulfate adenylyltransferase complex (ATP) [GO:0009336]
20515,P23845,Gene Ontology (molecular function),ATP binding [GO:0005524]
20516,P23845,Gene Ontology (molecular function), GTP binding [GO:0005525]
20517,P23845,Gene Ontology (molecular function), GTPase activity [GO:0003924]
20518,P23845,Gene Ontology (molecular function), sulfate adenylyltransferase (ATP) activity [GO:0004781]
20519,P23845,Gene Ontology (biological process), sulfate assimilation [GO:0000103]
20520,P23845,Gene Ontology (biological process), sulfur compound metabolic process [GO:0006790]
20521,CYSN_ECOLI,Gene Ontology (biological process),hydrogen sulfide biosynthetic process [GO:0070814]
20522,CYSN_ECOLI,Gene Ontology (cellular component),sulfate adenylyltransferase complex (ATP) [GO:0009336]
20523,CYSN_ECOLI,Gene Ontology (molecular function),ATP binding [GO:0005524]
20524,CYSN_ECOLI,Gene Ontology (molecular function), GTP binding [GO:0005525]
20525,CYSN_ECOLI,Gene Ontology (molecular function), GTPase activity [GO:0003924]
20526,CYSN_ECOLI,Gene Ontology (molecular function), sulfate adenylyltransferase (ATP) activity [GO:0004781]
20527,CYSN_ECOLI,Gene Ontology (biological process), sulfate assimilation [GO:0000103]
20528,CYSN_ECOLI,Gene Ontology (biological process), sulfur compound metabolic process [GO:0006790]
20529,P23847,Gene Ontology (biological process),chaperone-mediated protein folding [GO:0061077]
20530,P23847,Gene Ontology (cellular component),"ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]"
20531,P23847,Gene Ontology (molecular function),dipeptide transmembrane transporter activity [GO:0071916]
20532,P23847,Gene Ontology (molecular function), heme binding [GO:0020037]
20533,P23847,Gene Ontology (molecular function), peptide binding [GO:0042277]
20534,P23847,Gene Ontology (molecular function), peptide transmembrane transporter activity [GO:1904680]
20535,P23847,Gene Ontology (cellular component), membrane [GO:0016020]
